Time,Command Sent,Battery Level
89
12:42:31,batlv?,44
12:42:41,batlv?,43
12:42:51,batlv?,43
12:43:01,batlv?,43
12:43:11,batlv?,43
12:43:21,batlv?,43
12:43:31,batlv?,43
12:43:41,batlv?,42
12:43:51,batlv?,42
12:44:01,batlv?,42
12:44:11,batlv?,42
12:44:21,batlv?,42
12:44:31,batlv?,42
12:44:41,batlv?,41
12:44:51,batlv?,41
12:45:01,batlv?,41
12:45:11,batlv?,41
12:45:21,batlv?,41
12:45:31,batlv?,40
12:45:41,batlv?,40
12:45:51,batlv?,40
12:46:01,batlv?,40
12:46:11,batlv?,40
12:46:21,batlv?,40
12:46:31,batlv?,40
12:46:41,batlv?,39
12:46:51,batlv?,39
12:47:01,batlv?,38
12:47:11,batlv?,39
12:47:21,batlv?,39
12:47:31,batlv?,39
12:47:41,batlv?,38
12:47:51,batlv?,38
12:48:01,batlv?,38
12:48:11,batlv?,38
12:48:21,batlv?,38
12:48:31,batlv?,37
12:48:41,batlv?,37
